price_bought,selling_price,delivery_time,buyers_offer,final_price,final_delivery_time
126.29,155.71,6.05,129.34,124.31,4.18
186.13,228.24,10.44,213.4,203.63,10.97
87.39,99.86,4.67,100.78,97.94,6.48
111.56,139.08,5.13,92.37,79.01,3.45
163.33,186.17,8.14,158.05,145.45,8.47
84.32,118.61,5.84,87.12,76.99,7.5
61.55,91.49,4.01,52.86,45.44,2.05
93.46,139.08,5.15,103.39,89.32,5.68
74.18,107.27,2.43,81.43,68.8,2.33
189.45,253.93,10.45,220.02,212.03,9.84
171.22,236.34,7.91,137.56,126.73,8.42
145.01,176.05,3.13,128.58,119.64,1.34
180.72,244.39,4.06,204.37,195.14,5.07
170.55,218.69,3.23,182.19,176.55,1.25
77.99,100.82,9.35,90.29,82.82,8.58
183.88,258.01,3.13,151.31,149.22,3.15
130.9,158.75,11.05,135.98,129.98,10.56
171.12,210.0,2.25,175.84,165.1,1.48
184.41,271.06,4.99,150.16,135.82,6.32
97.7,109.67,12.69,98.23,83.75,14.43
66.51,86.08,10.62,69.42,60.64,12.12
84.19,123.35,2.88,73.79,64.3,2.97
114.07,153.32,11.85,103.72,100.12,13.39
172.7,227.72,7.92,182.4,171.66,9.6
179.11,214.91,12.16,176.84,174.85,11.8
51.04,63.16,9.21,58.35,53.37,8.34
126.61,182.43,10.18,118.63,108.27,8.58
112.61,149.06,13.92,102.1,96.76,13.84
83.32,108.8,4.79,99.48,97.78,6.57
67.98,77.49,9.49,79.16,66.51,9.73
100.64,111.35,7.52,81.68,76.34,8.19
191.44,284.37,2.47,212.17,210.28,0.92
98.48,123.18,2.17,83.13,81.08,0.75
127.82,171.44,3.43,103.66,99.14,3.29
155.45,175.95,9.79,141.38,137.89,11.59
104.54,143.57,8.81,94.9,83.06,8.25
195.77,288.37,8.64,220.77,215.27,10.15
194.37,258.56,2.38,210.75,198.48,0.86
87.77,100.97,7.63,104.68,101.24,8.1
124.59,166.04,13.1,135.13,127.23,13.5
95.13,133.81,6.77,92.02,81.39,8.21
92.73,117.07,9.5,100.1,89.98,7.51
55.53,80.63,11.36,66.63,57.21,10.12
141.43,192.28,11.41,153.32,139.38,10.29
125.4,183.05,8.23,138.53,134.33,10.03
57.72,77.89,12.3,67.84,59.93,10.91
91.8,105.8,6.7,77.61,64.23,4.84
186.24,227.93,12.66,201.5,199.4,12.8
85.93,101.46,4.88,97.99,96.21,5.0
71.73,104.99,5.36,84.77,80.51,6.74
123.42,173.3,2.64,109.15,99.29,4.43
197.85,271.16,11.55,198.16,193.52,11.7
86.31,105.33,7.0,92.54,88.88,8.72
150.82,177.01,4.75,135.59,128.16,5.65
164.24,230.36,4.78,170.84,161.25,3.84
85.65,110.45,12.82,77.34,72.86,14.53
159.23,189.54,12.01,148.62,143.42,12.68
105.17,141.62,8.64,102.71,93.12,8.3
144.85,161.67,9.39,146.54,132.3,10.11
145.03,178.45,7.69,142.09,131.65,7.3
130.37,167.84,6.7,130.01,118.05,5.16
63.54,73.66,12.99,58.42,52.29,13.86
175.3,261.87,3.51,151.38,146.57,4.8
98.12,116.14,7.02,80.35,72.99,7.94
77.98,89.84,6.13,68.5,56.2,5.05
56.12,66.3,7.98,57.96,50.57,9.8
138.63,195.14,7.49,154.5,141.65,5.59
151.63,192.61,8.23,131.57,116.73,7.56
52.49,69.61,3.68,44.27,42.26,2.72
126.81,140.56,8.16,139.46,137.82,6.35
83.97,93.53,4.91,77.43,74.34,4.53
146.78,187.63,4.21,173.28,166.9,4.7
76.15,108.65,2.78,82.68,79.85,4.31
153.64,223.41,11.15,142.99,129.8,13.11
108.01,122.56,7.13,98.92,97.59,8.36
190.51,250.59,9.52,192.32,186.89,9.39
70.63,103.49,10.73,58.74,55.15,11.63
101.16,126.97,10.15,85.69,71.65,11.53
67.02,95.96,7.65,58.33,47.96,7.51
188.7,217.67,6.65,209.44,195.67,7.8
181.6,267.71,6.51,182.61,167.99,6.44
88.69,124.22,9.68,71.33,63.37,9.23
149.0,220.0,7.94,159.34,155.06,8.04
172.58,236.55,12.19,167.32,163.6,12.89
133.28,165.98,12.5,133.86,129.74,13.4
129.45,190.97,4.05,114.64,103.72,3.47
86.28,104.42,3.63,88.06,86.5,3.92
63.97,78.86,9.56,76.23,74.51,11.2
184.58,254.78,5.61,153.09,143.57,7.52
185.06,260.22,2.22,169.07,159.08,1.13
144.97,213.35,12.66,130.06,119.75,11.44
100.85,119.2,4.72,90.71,84.5,5.43
102.38,145.3,13.15,97.41,85.13,12.81
158.89,221.72,10.61,179.11,170.64,8.71
184.57,207.73,11.15,215.05,212.57,10.54
183.06,229.72,4.42,161.26,149.1,5.64
166.98,202.57,4.81,169.85,155.51,6.0
146.3,178.75,8.26,154.32,152.48,8.23
62.62,93.5,4.07,63.17,56.69,3.96
74.24,100.76,5.67,72.29,64.46,5.98
184.78,256.31,5.86,162.02,158.97,4.74
140.96,210.13,3.92,140.3,127.15,4.02
51.38,64.27,4.46,49.35,44.37,2.51
65.22,92.66,11.46,72.93,60.97,11.36
149.53,190.47,4.01,165.29,154.9,3.35
50.76,73.49,2.34,43.33,33.96,3.04
74.12,86.89,9.55,61.92,58.23,10.11
132.31,195.7,13.71,153.91,149.82,13.24
153.78,182.62,5.97,155.97,154.31,4.0
147.79,181.86,3.42,168.95,164.58,2.43
83.64,117.3,8.84,68.86,63.02,9.38
156.83,197.21,12.88,158.49,145.83,11.17
85.59,114.97,11.41,86.94,80.81,9.84
98.81,126.26,9.47,113.07,101.5,10.06
161.97,226.27,5.78,135.9,128.75,6.8
147.44,175.66,8.5,132.14,120.15,7.79
177.38,199.27,3.09,170.75,156.08,3.05
148.64,181.34,10.15,170.39,166.04,11.93
135.25,174.43,10.7,158.99,145.92,12.48
64.05,74.76,13.58,76.68,66.97,12.81
105.16,130.6,5.12,124.47,112.03,6.36
89.78,113.12,2.22,72.04,61.92,2.6
86.6,97.25,8.55,70.93,64.0,10.45
195.95,261.27,10.48,168.33,164.14,10.39
108.96,158.41,11.48,102.38,100.4,12.58
183.81,213.34,4.32,208.06,199.57,5.4
144.67,193.73,5.14,167.39,152.53,5.13
169.22,231.14,8.15,148.02,136.69,9.33
125.4,158.97,5.97,131.4,125.81,5.01
136.54,188.48,12.33,159.33,146.75,10.82
123.88,156.62,7.69,122.08,110.31,7.39
79.29,103.22,11.59,66.71,61.77,13.37
158.37,174.67,8.97,155.7,154.5,8.97
92.12,126.81,11.28,87.54,84.89,11.82
53.65,73.2,5.99,55.31,42.03,6.49
146.82,163.76,11.98,143.22,130.51,10.51
76.57,95.5,5.29,61.78,56.65,4.86
191.07,285.0,8.55,228.82,223.83,9.38
193.09,244.89,4.57,196.45,184.35,6.46
187.23,243.54,7.71,185.25,171.13,6.38
105.52,154.48,5.82,124.71,112.81,5.46
52.32,72.56,5.2,45.12,35.64,3.58
189.25,252.23,13.6,165.72,161.33,12.57
114.23,162.1,3.92,128.3,119.94,3.43
195.0,281.92,11.45,176.34,172.07,11.61
194.54,249.55,13.81,217.83,205.52,12.73
177.95,229.57,2.24,161.69,155.27,1.15
94.17,118.13,10.39,76.58,63.91,11.5
107.76,160.21,5.03,108.5,102.16,6.89
177.67,244.98,2.49,156.11,143.58,1.78
97.54,110.54,6.83,107.6,101.93,7.59
75.42,109.0,13.22,79.68,72.52,12.25
133.52,172.54,2.14,156.14,146.53,3.85
190.42,214.7,9.05,211.98,209.99,9.75
154.4,203.8,8.02,134.69,120.41,9.23
135.51,171.67,12.48,151.78,142.75,10.68
64.58,93.71,3.01,68.24,60.13,3.4
142.25,168.08,10.18,151.86,139.11,10.29
198.51,283.98,10.16,224.89,211.77,9.33
71.01,93.96,10.03,73.11,64.8,9.08
127.75,143.31,13.31,126.01,112.03,13.63
181.61,270.36,11.88,191.53,189.63,12.7
161.12,210.26,2.5,148.09,145.51,0.64
154.55,187.99,7.65,134.93,125.58,7.92
155.37,200.08,6.78,162.62,156.66,5.46
103.92,149.98,5.72,92.86,85.36,4.28
94.04,114.91,7.42,78.24,72.64,7.91
171.4,201.75,6.61,137.16,130.5,5.85
171.52,197.52,7.19,178.95,166.43,6.95
180.06,219.52,13.75,170.13,160.82,13.19
186.99,264.03,3.06,205.86,190.89,3.66
126.7,163.27,13.07,120.38,108.36,12.95
125.23,149.14,7.76,124.53,119.7,9.62
169.74,198.0,9.48,163.44,158.73,8.89
147.49,181.87,11.96,156.38,150.68,12.92
155.3,229.21,6.33,146.36,133.55,5.35
169.37,209.55,7.17,200.79,199.41,7.2
183.5,274.38,6.91,215.51,211.29,7.12
100.7,130.31,6.5,114.72,101.05,5.81
106.34,124.59,13.11,124.21,114.26,12.99
64.1,93.35,11.95,62.79,58.62,11.06
136.74,175.6,3.31,138.73,134.67,1.33
55.39,76.65,3.3,60.76,47.68,2.16
119.84,178.98,7.13,129.24,115.73,7.93
131.4,147.17,3.18,151.93,147.34,4.27
92.98,105.88,9.43,101.03,94.14,8.55
138.62,192.44,3.72,166.23,153.55,3.36
54.58,66.18,8.27,51.27,39.47,6.42
55.6,65.26,2.09,63.01,50.61,1.03
173.39,193.46,5.8,187.1,178.84,6.92
104.03,115.34,10.13,111.99,98.23,10.55
69.06,97.36,7.81,64.25,58.68,6.63
128.34,148.07,13.74,143.0,139.8,12.77
165.5,213.01,12.49,192.0,181.08,13.76
82.37,110.57,6.31,73.1,64.55,5.15
143.43,182.35,2.55,150.63,137.67,1.88
62.8,69.76,12.15,60.09,57.96,12.8
57.75,81.63,12.93,69.06,56.25,13.18
129.7,143.22,11.85,128.61,123.5,11.69
131.1,184.16,3.54,116.85,106.68,5.13
145.61,212.21,13.97,138.73,137.17,12.85
158.91,202.32,5.1,168.69,159.16,6.07
196.38,258.08,10.69,163.08,152.04,9.33
127.45,164.51,12.9,132.73,126.56,13.36
98.44,123.61,4.83,115.42,111.41,6.31
169.28,246.29,12.9,193.0,184.47,12.73
90.62,132.09,5.71,74.95,62.29,6.61
115.85,142.99,13.72,138.71,133.18,15.0
61.77,83.14,5.38,66.68,62.14,3.92
53.8,79.13,13.44,46.53,41.63,14.26
194.4,288.65,2.64,156.48,142.2,4.32
175.4,228.64,10.51,152.33,146.3,10.82
154.4,197.8,8.39,175.28,174.23,7.13
111.34,134.89,7.73,90.04,78.09,6.24
75.99,112.74,4.68,67.88,57.09,3.72
73.47,85.01,10.47,81.03,78.23,8.88
87.54,116.59,4.29,90.55,75.76,4.34
132.38,160.58,8.63,147.36,137.84,6.91
157.19,190.45,5.04,172.67,164.66,3.93
149.03,188.07,13.47,122.24,115.89,13.23
91.99,137.94,2.34,106.43,92.85,2.24
193.23,216.8,4.4,172.13,167.72,4.66
160.68,213.94,4.91,164.12,159.12,5.73
133.15,150.87,6.97,140.84,138.12,5.16
141.76,164.7,4.79,122.97,111.34,3.12
112.94,144.09,7.9,134.45,125.12,6.14
87.16,113.67,12.47,86.75,77.22,12.16
103.4,124.44,10.54,85.1,81.04,8.71
163.68,200.76,8.96,192.3,182.19,9.94
52.16,59.19,3.07,53.96,42.24,1.96
67.41,82.33,10.33,72.78,66.77,12.08
56.9,84.59,4.0,57.47,45.25,3.94
56.11,82.92,11.44,63.62,57.74,11.22
178.32,220.04,5.0,145.02,133.4,6.12
155.55,206.62,7.0,141.14,139.67,7.86
121.13,177.31,6.21,119.66,110.94,6.63
64.68,71.3,12.31,53.72,39.15,14.05
123.74,176.24,3.52,133.93,119.2,3.21
121.02,179.03,8.79,115.87,110.93,10.02
75.98,86.35,3.7,69.07,61.89,3.23
115.08,134.02,10.46,92.22,90.34,11.81
109.78,162.94,12.86,119.43,106.2,11.9
142.38,187.23,7.22,161.39,152.43,6.37
145.26,160.62,7.86,139.17,132.77,8.57
56.8,68.33,13.13,58.25,55.68,11.98
106.19,135.92,8.25,94.62,80.37,7.17
143.88,198.14,7.85,150.91,142.49,7.07
125.47,174.81,8.94,100.99,96.02,9.66
178.47,267.38,10.27,177.66,171.76,11.83
148.8,180.8,3.28,157.39,152.6,3.98
74.44,97.91,11.85,86.89,77.47,13.16
60.59,79.57,7.23,57.71,43.69,7.4
146.36,184.75,2.87,161.89,148.89,1.14
53.98,63.03,11.43,56.09,48.64,9.84
137.87,205.56,6.52,161.41,148.84,6.74
191.03,275.34,3.2,183.27,176.35,2.52
136.32,177.13,9.61,126.46,121.92,8.49
108.23,145.16,12.56,124.98,110.22,12.43
146.49,174.46,12.65,120.08,114.83,13.32
118.74,156.44,13.49,101.47,95.94,13.03
131.84,181.68,12.41,109.82,94.96,13.62
191.22,249.75,2.03,217.46,214.59,2.98
107.92,161.45,6.56,86.79,75.14,7.5
194.18,261.08,11.82,222.27,208.17,13.76
185.8,231.95,6.4,182.18,174.02,5.58
79.37,111.82,9.22,63.62,62.59,9.8
60.4,70.56,9.28,58.03,51.78,10.7
65.12,81.64,6.38,56.96,54.4,6.7
52.73,65.33,12.85,55.36,48.53,14.01
64.17,81.67,8.04,68.77,56.71,7.7
152.45,215.37,7.58,151.69,144.55,7.94
60.68,78.5,13.97,49.53,42.48,12.19
97.85,138.71,7.92,103.96,95.16,9.87
176.73,235.16,4.14,200.91,191.77,5.34
53.49,66.16,8.16,58.2,45.22,9.63
172.17,245.17,11.77,194.89,189.58,12.55
92.28,110.3,11.32,81.22,68.72,10.07
67.72,80.58,11.46,78.26,69.34,9.59
154.51,201.14,10.5,143.52,138.31,11.95
144.34,173.84,5.05,116.25,111.12,4.64
181.62,200.44,12.35,206.57,200.51,11.4
160.26,217.85,12.72,188.58,178.87,12.97
170.52,222.44,4.33,181.13,176.9,4.01
92.31,117.99,3.57,82.39,68.5,4.17
76.62,113.91,13.71,69.01,59.96,13.64
162.59,216.0,12.42,160.42,146.54,13.21
171.03,247.2,12.72,198.24,196.59,14.13
198.58,229.51,12.64,170.74,164.95,11.42
111.89,148.56,8.5,126.48,125.16,7.82
105.8,153.12,9.76,96.97,92.16,9.5
166.46,221.93,8.54,187.01,173.94,10.39
101.12,140.27,2.61,118.12,116.61,2.08
189.61,236.79,10.95,184.11,177.01,10.47
178.76,203.25,8.06,169.11,166.47,8.68
114.35,146.73,9.77,128.17,121.34,9.45
162.63,204.56,8.03,164.55,151.8,9.84
163.18,236.09,7.9,175.22,165.5,9.48
65.47,78.41,4.06,68.69,57.37,4.12
185.38,275.61,5.34,159.64,153.76,5.92
125.79,186.58,3.91,143.14,128.91,2.14
173.97,208.6,4.35,152.8,141.87,5.13
98.01,121.45,13.68,114.95,108.05,14.5
184.33,268.79,3.84,165.94,158.97,3.27
108.38,161.12,5.23,118.52,104.66,4.11
51.63,65.95,9.09,47.18,38.11,10.75
185.81,228.25,9.32,172.26,161.38,9.03
63.69,83.47,3.85,58.85,52.01,4.46
97.9,134.62,11.52,107.6,103.47,9.66
192.51,232.82,11.42,196.88,185.75,11.08
192.59,268.59,4.85,222.09,212.58,6.12
136.02,152.43,5.46,125.54,117.52,5.01
144.78,162.11,13.26,155.89,146.16,13.67
117.27,147.11,11.91,129.13,125.22,10.75
93.98,116.67,10.37,80.88,68.76,10.04
99.3,121.77,2.99,95.35,81.08,4.7
150.88,195.6,7.02,149.84,136.37,7.28
162.86,200.04,8.71,153.46,147.96,10.32
168.74,198.59,4.25,156.73,150.05,5.86
168.44,206.14,7.38,181.0,168.69,9.16
63.68,94.88,9.21,56.44,47.11,10.79
124.16,157.0,5.93,134.56,125.89,3.94
58.63,74.93,11.37,68.84,54.86,13.11
132.43,176.21,12.09,135.88,127.38,10.64
116.23,173.57,5.88,121.41,113.2,4.04
183.16,219.17,12.06,151.57,149.99,10.29
102.64,140.87,3.24,117.6,115.63,2.64
67.56,93.66,12.05,61.76,60.66,12.54
71.45,95.95,3.83,74.74,60.95,3.44
164.23,186.47,3.0,195.7,188.98,1.1
142.73,195.65,9.7,148.19,140.63,9.61
65.17,73.36,7.66,71.03,58.19,7.43
62.62,83.81,12.89,61.25,51.72,13.92
155.15,216.56,6.36,127.86,118.33,5.48
60.91,72.15,5.45,68.17,63.01,4.32
173.28,248.94,8.01,141.05,128.37,7.03
155.94,173.42,7.47,168.45,165.13,6.69
62.2,89.42,6.13,50.33,48.59,6.53
62.73,80.55,10.32,71.82,68.13,10.21
198.0,235.03,11.11,170.88,166.13,10.46
106.14,122.43,12.24,106.75,101.79,11.73
105.6,156.42,13.67,109.7,99.31,13.16
171.92,194.11,5.2,169.0,164.95,7.09
192.09,226.59,10.59,179.85,169.38,9.53
197.9,245.22,6.73,195.35,193.08,8.0
163.01,219.75,10.12,150.71,147.65,10.96
106.44,140.28,7.71,103.8,95.68,5.73
62.53,71.92,13.93,59.0,45.09,15.9
166.57,202.53,10.75,170.98,157.95,11.77
133.76,159.91,13.43,119.74,105.18,14.16
113.63,134.7,12.02,135.84,125.74,11.64
185.95,235.13,12.83,186.02,175.56,13.06
66.68,92.13,11.77,58.52,48.77,10.79
123.89,147.06,7.51,122.76,113.04,5.65
51.7,64.46,5.02,59.28,56.22,6.37
120.3,151.14,6.44,97.29,88.68,8.03
58.45,87.12,2.24,62.64,56.24,0.89
67.82,100.5,8.29,69.12,61.93,9.44
67.63,96.04,8.06,58.69,50.36,9.03
147.38,176.37,8.3,166.1,163.3,7.02
161.91,182.5,13.69,153.42,147.38,13.38
137.51,168.69,12.94,126.16,124.28,12.63
194.33,234.5,3.94,219.83,205.12,4.98
106.23,138.35,6.43,112.12,109.46,7.78
92.86,131.03,7.09,107.65,103.03,5.47
180.29,260.22,6.33,189.66,176.18,6.58
83.54,120.13,11.58,91.59,83.83,12.63
194.48,241.91,8.29,220.66,217.76,9.43
51.82,71.25,8.87,42.59,36.21,7.46
195.48,239.49,12.24,217.07,214.44,12.34
56.47,63.5,11.67,59.04,55.24,13.1
183.67,253.58,3.59,152.04,150.32,2.86
129.16,142.58,10.57,129.6,122.46,10.27
198.94,251.4,7.23,165.72,153.42,8.44
61.07,75.22,5.54,66.83,57.63,3.89
133.08,183.3,2.6,135.55,126.06,4.04
195.4,274.82,7.85,230.85,227.04,7.09
128.46,156.94,6.27,112.18,106.37,4.27
144.41,205.73,5.02,150.53,137.7,3.95
154.36,187.95,10.34,136.55,134.32,8.69
118.18,151.1,11.23,123.57,110.56,9.6
144.13,200.46,4.94,156.97,149.2,5.71
137.65,189.56,2.59,149.89,137.17,1.45
185.17,276.82,12.19,208.51,203.06,13.92
56.82,67.62,2.12,64.85,59.11,2.19
92.14,125.77,13.25,76.56,65.04,13.09
192.56,258.78,9.53,180.49,168.5,9.27
183.54,269.08,5.86,197.28,193.06,6.63
118.35,137.59,4.96,118.28,103.66,4.77
143.02,200.33,2.11,125.32,123.14,0.62
91.61,121.59,4.83,93.54,91.58,6.35
78.22,94.63,3.65,75.32,65.99,3.37
119.55,154.2,9.35,114.3,103.18,7.64
103.0,127.06,4.0,115.77,101.31,4.12
137.55,183.18,8.34,132.46,125.8,8.93
61.66,89.75,9.08,49.98,48.63,8.18
196.16,260.44,5.58,161.48,152.04,6.78
197.93,267.74,2.42,226.14,221.08,3.1
154.72,202.3,2.45,183.23,176.17,3.05
130.41,146.12,2.32,140.24,132.4,2.0
96.43,115.05,10.87,91.2,89.29,12.72
172.07,223.14,5.82,202.26,194.45,4.91
152.71,186.93,11.56,162.65,155.69,11.87
74.39,87.24,7.18,84.64,73.66,6.42
186.64,242.94,7.44,206.49,196.45,8.42
173.38,213.11,8.15,165.0,161.41,6.35
192.47,231.59,10.56,190.83,186.94,8.74
158.86,204.23,5.28,138.91,134.4,6.53
142.01,163.78,3.46,130.2,126.69,3.2
112.74,165.85,8.67,125.28,115.08,8.04
189.91,274.81,5.92,219.84,204.92,6.35
179.91,248.82,7.31,196.06,185.93,8.12
56.78,64.87,9.76,55.99,46.5,8.57
53.96,76.1,7.93,45.03,38.29,6.67
106.47,151.53,9.44,87.6,82.22,11.28
171.58,241.44,8.53,162.96,149.2,8.89
198.09,226.93,10.88,195.22,180.66,10.44
72.56,98.51,10.47,75.73,67.77,11.68
139.12,199.46,8.41,111.66,106.59,8.51
107.13,142.59,10.15,128.12,116.34,9.11
195.49,265.58,12.48,184.85,181.99,11.31
176.32,226.28,7.19,200.87,189.15,6.77
175.75,230.49,6.95,178.21,165.74,8.39
120.3,133.99,11.17,102.52,99.77,9.42
112.22,152.13,8.99,125.58,110.9,7.86
91.01,103.08,2.85,98.65,83.85,4.42
58.46,74.47,12.71,59.1,44.98,11.19
179.71,218.72,2.37,180.75,172.81,2.89
171.94,226.64,10.98,143.56,139.12,9.83
199.96,230.62,11.11,212.42,203.27,11.53
199.5,274.64,13.44,232.31,225.43,12.97
133.31,189.04,2.65,111.62,107.74,1.06
165.35,192.69,9.16,149.71,142.78,9.49
191.71,218.89,7.13,222.57,212.27,7.87
177.45,205.52,5.97,162.14,160.15,6.69
87.1,126.37,3.08,92.47,86.8,3.63
117.58,154.18,8.75,119.22,117.97,8.75
69.37,89.28,7.75,72.05,60.55,7.83
193.11,220.66,3.25,186.6,176.63,3.8
140.93,191.63,9.35,129.65,127.77,10.11
84.3,121.99,10.86,69.07,54.57,11.47
150.76,215.77,11.21,165.49,164.17,11.56
142.72,192.73,12.86,156.77,147.51,11.49
103.72,117.22,6.91,110.81,98.94,5.76
67.03,76.75,13.44,70.88,58.85,12.48
150.74,168.78,12.39,135.28,133.8,14.06
128.05,154.04,5.56,103.58,89.89,6.6
165.85,191.43,3.91,186.33,172.47,4.12
128.02,154.14,7.22,127.57,118.71,6.23
177.83,223.0,6.82,164.09,156.34,5.27
132.79,196.15,8.91,111.64,110.01,10.5
134.14,180.31,9.0,110.68,101.81,10.57
181.5,260.27,11.0,170.53,163.79,9.44
110.52,152.98,8.12,123.99,112.18,9.31
70.1,80.27,3.26,81.84,75.19,3.04
54.32,75.74,12.3,62.94,52.37,11.6
163.27,197.56,5.72,190.7,188.28,6.67
143.05,193.92,13.66,166.38,163.51,14.11
155.61,192.4,3.41,157.31,154.35,4.53
81.94,122.84,13.5,72.75,71.11,11.8
70.46,84.93,3.09,78.86,70.28,2.37
52.18,63.23,4.77,46.21,34.09,4.05
102.59,151.04,2.56,93.04,83.49,1.88
138.49,153.7,10.46,123.71,114.66,10.47
108.84,150.05,12.2,109.49,98.96,11.34
115.62,160.73,7.21,107.38,101.63,6.99
185.62,266.29,13.14,159.95,153.88,12.61
102.24,152.31,9.08,100.32,94.92,10.02
127.1,189.41,9.56,146.11,135.14,9.97
167.55,188.68,12.15,172.28,169.01,12.76
109.48,156.42,5.56,126.05,124.87,4.4
143.31,194.69,6.25,125.88,116.53,5.55
179.35,243.73,12.87,155.46,141.27,10.96
192.43,221.55,12.81,198.25,188.71,11.25
72.06,98.01,13.72,71.0,59.04,12.78
188.99,282.16,12.82,201.1,190.68,11.08
123.82,181.36,3.53,138.41,130.45,3.94
88.74,113.2,11.88,97.66,86.6,13.88
